Away Result,Home Team,Team Away,Home Result,Date
2,Portimonense,Marítimo,1,2017 AUG
0,Boavista,Desportivo Aves,1,2017 AUG
1,Sporting Lisbon,Estoril Praia,2,2017 AUG
1,Sporting Braga,FC Porto,0,2017 AUG
3,Moreirense,Tondela,0,2017 AUG
0,Paços de Ferreira,Vitória Guimarães,0,2017 AUG
2,GD Chaves,Feirense,0,2017 AUG
2,Paços de Ferreira,Moreirense,3,2017 SEP
1,Boavista,Marítimo,2,2018 JAN
1,Rio Ave,Benfica,1,2017 AUG
1,Belenenses,Vitória Setúbal,1,2017 AUG
1,Feirense,Paços de Ferreira,2,2017 AUG
1,Vitória Setúbal,GD Chaves,1,2017 AUG
0,FC Porto,Moreirense,3,2017 AUG
2,Desportivo Aves,Sporting Braga,0,2017 AUG
2,Portimonense,Desportivo Aves,2,2017 SEP
0,Boavista,Feirense,1,2017 SEP
1,Rio Ave,Vitória Setúbal,2,2017 SEP
1,GD Chaves,Tondela,1,2017 SEP
1,Vitória Setúbal,Boavista,1,2017 SEP
4,Feirense,Belenenses,1,2017 SEP
1,Vitória Guimarães,Marítimo,2,2017 SEP
2,GD Chaves,Vitória Setúbal,2,2018 JAN
0,Sporting Lisbon,Vitória Guimarães,1,2018 JAN
0,Estoril Praia,Tondela,3,2018 JAN
0,Sporting Braga,Desportivo Aves,2,2018 JAN
0,Moreirense,FC Porto,0,2018 JAN
1,Paços de Ferreira,Feirense,2,2018 JAN
0,Marítimo,Boavista,1,2017 AUG
3,Tondela,Estoril Praia,2,2017 AUG
5,Vitória Guimarães,Sporting Lisbon,0,2017 AUG
0,Benfica,Belenenses,5,2017 AUG
0,Rio Ave,Portimonense,2,2017 AUG
0,Estoril Praia,Vitória Guimarães,3,2017 AUG
2,Tondela,Sporting Braga,1,2017 SEP
0,Desportivo Aves,Rio Ave,0,2017 SEP
2,Estoril Praia,GD Chaves,0,2017 SEP
1,Moreirense,Sporting Lisbon,1,2017 SEP
0,Benfica,Paços de Ferreira,2,2017 SEP
2,FC Porto,Portimonense,5,2017 SEP
2,Portimonense,Vitória Setúbal,5,2017 OCT
1,Sporting Braga,Feirense,3,2017 NOV
1,Portimonense,Rio Ave,4,2018 JAN
1,Belenenses,Benfica,1,2018 JAN
2,Desportivo Aves,Paços de Ferreira,0,2018 JAN
0,Feirense,Moreirense,1,2018 JAN
0,Rio Ave,Boavista,2,2018 JAN
1,Vitória Guimarães,Estoril Praia,3,2018 JAN
0,Marítimo,Belenenses,0,2018 JAN
1,GD Chaves,Benfica,0,2017 AUG
2,Paços de Ferreira,Desportivo Aves,2,2017 AUG
1,Sporting Braga,Portimonense,2,2017 AUG
1,Tondela,FC Porto,0,2017 AUG
0,Moreirense,Feirense,0,2017 AUG
0,Belenenses,Marítimo,1,2017 AUG
1,Portimonense,Feirense,2,2017 SEP
0,GD Chaves,Moreirense,3,2017 SEP
1,Belenenses,Estoril Praia,2,2017 SEP
2,Rio Ave,FC Porto,1,2017 SEP
1,Sporting Braga,Vitória Guimarães,2,2017 SEP
1,Marítimo,Desportivo Aves,2,2017 SEP
0,Sporting Braga,GD Chaves,1,2017 OCT
0,Paços de Ferreira,Estoril Praia,1,2017 OCT
3,Desportivo Aves,Vitória Guimarães,1,2017 OCT
0,Marítimo,Tondela,2,2017 OCT
0,Belenenses,Moreirense,3,2017 OCT
1,Rio Ave,Vitória Guimarães,0,2017 NOV
0,Marítimo,Estoril Praia,0,2017 NOV
2,Paços de Ferreira,Sporting Lisbon,1,2017 NOV
0,Benfica,Vitória Setúbal,6,2017 NOV
0,Portimonense,Tondela,2,2017 NOV
0,Benfica,GD Chaves,3,2018 JAN
2,Portimonense,Sporting Braga,1,2018 JAN
1,Vitória Setúbal,Sporting Lisbon,1,2018 JAN
0,FC Porto,Tondela,1,2018 JAN
1,Vitória Guimarães,Tondela,0,2017 DEC
2,Boavista,Rio Ave,1,2017 AUG
0,Sporting Lisbon,Vitória Setúbal,1,2017 AUG
2,Vitória Guimarães,GD Chaves,3,2017 AUG
0,FC Porto,Estoril Praia,4,2017 AUG
1,Benfica,Sporting Braga,3,2017 AUG
0,Marítimo,Paços de Ferreira,1,2017 AUG
1,Boavista,Benfica,2,2017 SEP
0,Sporting Lisbon,Tondela,2,2017 SEP
0,Paços de Ferreira,Vitória Setúbal,1,2017 SEP
1,Desportivo Aves,Belenenses,2,2017 SEP
0,Vitória Setúbal,Sporting Braga,2,2017 SEP
3,Boavista,FC Porto,0,2017 OCT
0,Benfica,Feirense,1,2017 OCT
1,Rio Ave,Sporting Lisbon,0,2017 OCT
1,Moreirense,Sporting Braga,0,2017 OCT
3,Vitória Guimarães,Portimonense,3,2017 OCT
0,Boavista,Moreirense,1,2017 NOV
1,Desportivo Aves,FC Porto,1,2017 NOV
1,Belenenses,GD Chaves,0,2017 NOV
1,Feirense,Marítimo,0,2017 NOV
2,GD Chaves,Paços de Ferreira,4,2017 NOV
3,Vitória Guimarães,Benfica,1,2017 NOV
2,Moreirense,Vitória Setúbal,2,2018 JAN
0,Boavista,Portimonense,2,2018 JAN
1,Tondela,Feirense,3,2018 JAN
2,Belenenses,Rio Ave,1,2018 JAN
0,Sporting Lisbon,Desportivo Aves,3,2018 JAN
1,Moreirense,Vitória Guimarães,2,2017 DEC
1,FC Porto,Marítimo,3,2017 DEC
0,Feirense,Vitória Setúbal,1,2017 DEC
1,GD Chaves,Rio Ave,1,2017 DEC
0,Sporting Lisbon,Portimonense,2,2017 DEC
5,Tondela,Benfica,1,2017 DEC
1,Portimonense,Boavista,2,2017 AUG
1,Feirense,Tondela,1,2017 AUG
0,Rio Ave,Belenenses,1,2017 AUG
2,Desportivo Aves,Sporting Lisbon,0,2017 AUG
1,Vitória Setúbal,Moreirense,1,2017 AUG
0,Vitória Guimarães,Boavista,1,2017 SEP
2,Estoril Praia,Moreirense,0,2017 SEP
2,Tondela,Paços de Ferreira,2,2017 SEP
0,Marítimo,Rio Ave,1,2017 SEP
0,FC Porto,GD Chaves,3,2017 SEP
3,Feirense,Sporting Lisbon,2,2017 SEP
0,Tondela,Belenenses,2,2017 OCT
3,Desportivo Aves,Benfica,1,2017 OCT
1,Sporting Lisbon,GD Chaves,5,2017 OCT
0,Feirense,Rio Ave,1,2017 OCT
1,Vitória Setúbal,Marítimo,3,2017 OCT
1,FC Porto,Paços de Ferreira,6,2017 OCT
2,Sporting Lisbon,Sporting Braga,2,2017 NOV
1,Moreirense,Portimonense,1,2017 NOV
2,Tondela,Boavista,3,2017 NOV
2,Estoril Praia,Rio Ave,0,2017 NOV
0,FC Porto,Belenenses,2,2017 NOV
0,Sporting Braga,Tondela,1,2018 FEB
0,Paços de Ferreira,Marítimo,0,2018 JAN
3,Sporting Braga,Benfica,1,2018 JAN
3,GD Chaves,Vitória Guimarães,4,2018 JAN
1,Tondela,Vitória Setúbal,1,2018 JAN
1,Belenenses,Boavista,1,2018 JAN
2,Estoril Praia,Desportivo Aves,3,2017 DEC
0,Sporting Braga,Belenenses,4,2017 DEC
2,Paços de Ferreira,Boavista,1,2017 DEC
0,Vitória Guimarães,Feirense,1,2017 DEC
0,Marítimo,Sporting Braga,1,2017 DEC
1,Portimonense,GD Chaves,0,2017 DEC
1,Benfica,Portimonense,2,2017 SEP
3,Estoril Praia,Boavista,0,2017 OCT
0,Sporting Braga,Estoril Praia,6,2017 OCT
0,Sporting Lisbon,FC Porto,0,2017 OCT
0,Belenenses,Vitória Guimarães,1,2017 OCT
1,Marítimo,Benfica,1,2017 OCT
1,Vitória Setúbal,Desportivo Aves,0,2017 NOV
0,Sporting Lisbon,Moreirense,1,2018 FEB
0,GD Chaves,Estoril Praia,2,2018 FEB
0,Boavista,Vitória Setúbal,4,2018 FEB
5,Portimonense,FC Porto,1,2018 FEB
0,Belenenses,Feirense,1,2018 FEB
2,Marítimo,Vitória Guimarães,3,2018 FEB
1,Paços de Ferreira,Portimonense,1,2018 JAN
2,Estoril Praia,Feirense,0,2018 JAN
1,GD Chaves,Desportivo Aves,1,2018 JAN
2,Moreirense,Benfica,0,2018 JAN
0,Sporting Lisbon,Marítimo,5,2018 JAN
2,FC Porto,Vitória Guimarães,4,2018 JAN
1,Belenenses,Paços de Ferreira,1,2017 DEC
5,Vitória Setúbal,FC Porto,0,2017 DEC
1,Desportivo Aves,Tondela,0,2017 DEC
1,Benfica,Estoril Praia,3,2017 DEC
3,Boavista,Sporting Lisbon,1,2017 DEC
1,Rio Ave,Moreirense,2,2017 DEC
0,GD Chaves,Paços de Ferreira,1,2017 MAR
3,Paços de Ferreira,Benfica,1,2018 FEB
0,Rio Ave,Desportivo Aves,0,2018 FEB
3,Estoril Praia,FC Porto,1,2018 FEB
2,Tondela,Sporting Lisbon,1,2018 FEB
1,Moreirense,GD Chaves,0,2018 FEB
0,Vitória Setúbal,Paços de Ferreira,1,2018 FEB
1,Sporting Braga,Rio Ave,2,2018 JAN
2,Vitória Setúbal,Estoril Praia,2,2018 JAN
0,Portimonense,Belenenses,0,2018 JAN
3,Boavista,Sporting Braga,1,2018 JAN
2,Desportivo Aves,Moreirense,1,2018 JAN
0,Estoril Praia,Portimonense,0,2017 DEC
1,Feirense,Desportivo Aves,0,2017 DEC
0,Sporting Braga,Paços de Ferreira,3,2017 DEC
2,Vitória Setúbal,Vitória Guimarães,1,2017 DEC
1,Moreirense,Marítimo,1,2017 DEC
3,Tondela,Rio Ave,1,2017 DEC
2,Estoril Praia,Arouca,4,2017 MAY
2,CD Nacional,Vitória Guimarães,1,2017 MAR
2,Feirense,GD Chaves,3,2017 MAR
1,Marítimo,Arouca,3,2017 MAR
1,FC Porto,Vitória Setúbal,1,2017 MAR
0,Vitória Guimarães,Rio Ave,3,2017 MAR
2,Belenenses,Sporting Braga,1,2017 MAR
0,FC Porto,Rio Ave,5,2018 FEB
5,Vitória Guimarães,Sporting Braga,0,2018 FEB
0,Desportivo Aves,Marítimo,0,2018 FEB
0,Benfica,Boavista,4,2018 FEB
2,Estoril Praia,Belenenses,0,2018 FEB
3,Feirense,Portimonense,1,2018 FEB
2,Marítimo,GD Chaves,1,2018 JAN
2,Feirense,FC Porto,1,2018 JAN
2,Rio Ave,Paços de Ferreira,4,2018 JAN
1,Benfica,Sporting Lisbon,1,2018 JAN
0,GD Chaves,Boavista,0,2017 DEC
0,Sporting Lisbon,Belenenses,1,2017 DEC
0,FC Porto,Benfica,0,2017 DEC
1,Moreirense,FC Porto,3,2017 MAY
0,Tondela,Sporting Braga,2,2017 MAY
1,Sporting Lisbon,GD Chaves,4,2017 MAY
2,CD Nacional,Vitória Setúbal,1,2017 MAY
0,Paços de Ferreira,Marítimo,0,2017 MAY
0,Rio Ave,Belenenses,2,2017 MAY
1,Vitória Guimarães,Feirense,0,2017 MAY
1,Moreirense,Tondela,1,2017 MAR
0,Sporting Lisbon,CD Nacional,2,2017 MAR
0,Paços de Ferreira,Benfica,0,2017 MAR
0,Estoril Praia,Boavista,0,2017 MAR
1,CD Nacional,Paços de Ferreira,1,2017 MAR
0,Benfica,Belenenses,4,2017 MAR
2,Moreirense,Estoril Praia,1,2018 FEB
5,Belenenses,Desportivo Aves,2,2018 FEB
4,GD Chaves,FC Porto,0,2018 FEB
0,Sporting Lisbon,Feirense,2,2018 FEB
0,Boavista,Vitória Guimarães,1,2018 FEB
0,Rio Ave,Marítimo,3,2018 FEB
1,Sporting Braga,Vitória Setúbal,3,2018 FEB
2,Arouca,Moreirense,2,2017 APR
2,Boavista,Benfica,2,2017 MAY
1,Vitória Setúbal,Boavista,0,2017 MAY
2,GD Chaves,Rio Ave,2,2017 MAY
1,Marítimo,Estoril Praia,1,2017 MAY
1,FC Porto,Paços de Ferreira,4,2017 MAY
0,Sporting Braga,CD Nacional,4,2017 MAY
0,Boavista,Marítimo,3,2017 MAR
2,Rio Ave,Moreirense,3,2017 MAR
3,Vitória Guimarães,Estoril Praia,3,2017 MAR
2,Vitória Setúbal,Feirense,1,2017 MAR
0,GD Chaves,Sporting Braga,0,2017 MAR
4,Tondela,Sporting Lisbon,1,2017 MAR
4,Arouca,FC Porto,0,2017 MAR
3,Portimonense,Benfica,1,2018 FEB
2,Paços de Ferreira,Tondela,0,2018 FEB
0,Desportivo Aves,Boavista,3,2018 FEB
3,Marítimo,Portimonense,0,2018 FEB
0,Vitória Setúbal,Belenenses,3,2018 FEB
2,Feirense,GD Chaves,1,2018 FEB
2,Tondela,Moreirense,1,2018 FEB
1,Feirense,Marítimo,2,2017 APR
3,Sporting Braga,Sporting Lisbon,2,2017 APR
2,Belenenses,Paços de Ferreira,1,2017 APR
0,Boavista,Tondela,1,2017 APR
2,CD Nacional,Rio Ave,0,2017 APR
1,Benfica,Estoril Praia,2,2017 APR
2,GD Chaves,FC Porto,0,2017 APR
2,Arouca,Tondela,1,2017 MAY
0,Benfica,Vitória Guimarães,5,2017 MAY
1,Feirense,Sporting Lisbon,2,2017 MAY
1,Belenenses,Moreirense,1,2017 MAY
1,Estoril Praia,GD Chaves,2,2017 MAY
3,Sporting Lisbon,Belenenses,1,2017 MAY
2,Estoril Praia,Rio Ave,0,2017 MAR
0,Paços de Ferreira,Tondela,0,2017 MAR
0,Marítimo,Vitória Setúbal,1,2017 MAR
1,Belenenses,GD Chaves,2,2017 MAR
1,Sporting Lisbon,Vitória Guimarães,1,2017 MAR
1,Sporting Braga,Arouca,3,2017 MAR
0,FC Porto,CD Nacional,7,2017 MAR
0,Estoril Praia,Sporting Lisbon,2,2018 FEB
2,Vitória Guimarães,Paços de Ferreira,3,2018 FEB
1,Benfica,Rio Ave,5,2018 FEB
1,FC Porto,Sporting Braga,3,2018 FEB
2,Vitória Setúbal,Vitória Guimarães,0,2017 APR
0,Moreirense,GD Chaves,0,2017 APR
1,Paços de Ferreira,Sporting Braga,3,2017 APR
0,Vitória Guimarães,Boavista,2,2017 APR
0,FC Porto,Feirense,0,2017 APR
0,Marítimo,Belenenses,3,2017 APR
1,Tondela,Vitória Setúbal,2,2017 MAY
0,Vitória Guimarães,Arouca,1,2017 MAY
1,Rio Ave,Benfica,0,2017 MAY
2,Boavista,CD Nacional,2,2017 MAY
1,Paços de Ferreira,Feirense,0,2017 MAY
1,Marítimo,FC Porto,1,2017 MAY
1,Feirense,Benfica,0,2017 MAR
0,Moreirense,Boavista,0,2017 MAR
0,Tondela,CD Nacional,2,2017 APR
0,Estoril Praia,Vitória Setúbal,3,2017 APR
1,Sporting Lisbon,Benfica,1,2017 APR
0,Rio Ave,Arouca,3,2017 APR
1,CD Nacional,Moreirense,0,2017 APR
0,Arouca,Feirense,2,2017 APR
3,GD Chaves,Vitória Guimarães,2,2017 APR
1,Moreirense,Sporting Braga,2,2017 MAY
1,Tondela,Rio Ave,2,2017 APR
1,Sporting Braga,FC Porto,1,2017 APR
3,Belenenses,Estoril Praia,1,2017 APR
0,Boavista,Paços de Ferreira,0,2017 APR
0,Benfica,Marítimo,3,2017 APR
3,Vitória Setúbal,Sporting Lisbon,0,2017 APR
1,Marítimo,GD Chaves,2,2017 APR
1,Estoril Praia,CD Nacional,0,2017 APR
0,Rio Ave,Vitória Setúbal,0,2017 APR
1,Vitória Guimarães,Tondela,2,2017 APR
1,Moreirense,Benfica,0,2017 APR
1,Paços de Ferreira,Arouca,1,2017 APR
0,FC Porto,Belenenses,3,2017 APR
0,Sporting Lisbon,Boavista,4,2017 APR
1,Feirense,Sporting Braga,0,2017 APR
2,Belenenses,Feirense,1,2017 APR
0,Vitória Setúbal,Moreirense,2,2017 APR
2,Arouca,Sporting Lisbon,1,2017 APR
3,Sporting Braga,Marítimo,3,2017 APR
2,Tondela,Estoril Praia,0,2017 APR
1,Boavista,Rio Ave,0,2017 APR
1,Benfica,FC Porto,1,2017 APR
